# Civ2.exe Function Index
# Generated by Ghidra headless decompiler
# Format: Address  Size  Name
# Total: 5149 decompiled, 1975 skipped (thunks/externals), 0 errors

0x0043CE5A     159  FUN_0043ce5a
0x0043CEF9     125  FUN_0043cef9
0x0043CF76     245  FUN_0043cf76
0x0043D07A     400  FUN_0043d07a
0x0043D20A     122  FUN_0043d20a
0x0043D289     186  FUN_0043d289
0x0043D348      92  FUN_0043d348
0x0043D3A4      92  FUN_0043d3a4
0x0043D400    8227  FUN_0043d400
0x0043F444      79  FUN_0043f444
0x0043F493     778  FUN_0043f493
0x0043F7A7     265  FUN_0043f7a7
0x0043F8B0    2677  create_city
0x00440325     199  FUN_00440325
0x004403EC     103  FUN_004403ec
0x00440453     765  FUN_00440453
0x00440750    3144  FUN_00440750
0x004413D1    1704  delete_city
0x00441A79     152  FUN_00441a79
0x00441B11    2572  FUN_00441b11
0x0044251D      12  FUN_0044251d
0x00442533      14  FUN_00442533
0x00442541     254  FUN_00442541
0x0044263F     238  FUN_0044263f
0x0044272D     344  FUN_0044272d
0x00442885     298  FUN_00442885
0x004429AF     269  FUN_004429af
0x00444270      33  FUN_00444270
0x004442A0      43  FUN_004442a0
0x004442E0      39  FUN_004442e0
0x00444310    3846  FUN_00444310
0x0044525D      12  FUN_0044525d
0x00445269      12  FUN_00445269
0x0044527F      15  FUN_0044527f
0x0044528E     377  FUN_0044528e
0x00445407      12  FUN_00445407
0x0044541D      15  FUN_0044541d
0x0044542C     321  FUN_0044542c
0x0044556D      12  FUN_0044556d
0x00445583      15  FUN_00445583
0x00445592     347  FUN_00445592
0x004456ED      12  FUN_004456ed
0x00445703      15  FUN_00445703
0x00445712    1795  FUN_00445712
0x00445E15      12  FUN_00445e15
0x00445E21      12  FUN_00445e21
0x00445E37      15  FUN_00445e37
0x00445E46    2469  FUN_00445e46
0x004467FA      12  FUN_004467fa
0x00446810      15  FUN_00446810
0x00447170      57  FUN_00447170
0x004471C0      57  FUN_004471c0
0x00447210     133  FUN_00447210
0x004472C0      28  GetCheckStyle
0x004472F0      33  FUN_004472f0
0x00447320      26  FUN_00447320
0x0044733A      40  FUN_0044733a
0x00447362      29  FUN_00447362
0x0044737F      35  FUN_0044737f
0x004473A2      26  FUN_004473a2
0x004473BC      40  FUN_004473bc
0x004473E4      29  FUN_004473e4
0x00447401      35  FUN_00447401
0x00447424      26  FUN_00447424
0x0044743E      40  FUN_0044743e
0x00447466      29  FUN_00447466
0x00447483      35  FUN_00447483
0x004474A6      26  FUN_004474a6
0x004474C0      40  FUN_004474c0
0x004474E8      29  FUN_004474e8
0x00447505      35  FUN_00447505
0x00447528      26  FUN_00447528
0x00447542      40  FUN_00447542
0x0044756A      29  FUN_0044756a
0x00447587      35  FUN_00447587
0x004475AA      26  FUN_004475aa
0x004475C4      40  FUN_004475c4
0x004475EC      29  FUN_004475ec
0x00447609      35  FUN_00447609
0x0044762C      26  FID_conflict:_$E31
0x00447646      26  FUN_00447646
0x00447660      29  FUN_00447660
0x0044767D      26  FUN_0044767d
0x00447697      26  FUN_00447697
0x004476B1      40  FUN_004476b1
0x004476D9      29  FUN_004476d9
0x004476F6      35  FUN_004476f6
0x00447719      26  FID_conflict:_$E31
0x00447733      26  FUN_00447733
0x0044774D      29  FUN_0044774d
0x0044776A      26  FUN_0044776a
0x00447784      26  FID_conflict:_$E31
0x0044779E      26  FUN_0044779e
0x004477B8      29  FUN_004477b8
0x004477D5      26  FUN_004477d5
0x004477EF      26  FID_conflict:_$E31
0x00447809      26  FUN_00447809
0x00447823      29  FUN_00447823
0x00447840      26  FUN_00447840
0x0044785A      26  FUN_0044785a
0x00447874      40  FUN_00447874
0x0044789C      29  FUN_0044789c
0x004478B9      35  FUN_004478b9
0x004478DC      26  FUN_004478dc
0x004478F6      40  FUN_004478f6
0x0044791E      29  FUN_0044791e
0x0044793B      35  FUN_0044793b
0x0044795E      26  FUN_0044795e
